citeKey	type	author	title	date
mckinney_python_nodate	article	McKinney, Wes	Python for {Data {Analysis	NA
grant_data_2019	book	Grant, Robert	Data visualization: charts, maps, and interactive graphics	NA
reitz_hitchhikers_nodate	article	Reitz, Kenneth and Schlusser, Tanya	The {Hitchhiker’s {Guide {To {Python	NA
ridge_crowdsourcing_nodate	article	Ridge, Mia	Crowdsourcing {Our {Cultural {Heritage	NA
van_hyning_harnessing_2019	article	Van Hyning, Victoria	Harnessing crowdsourcing for scholarly and {GLAM purposes	NA
turchin_quantitative_2018	article	Turchin, Peter and Currie, Thomas E. and Whitehouse, Harvey and François, Pieter and Feeney, Kevin and Mullins, Daniel and Hoyer, Daniel and Collins, Christina and Grohmann, Stephanie and Savage, Patrick and Mendel-Gleason, Gavin and Turner, Edward and Dupeyron, Agathe and Cioni, Enrico and Reddish, Jenny and Levine, Jill and Jordan, Greine and Brandl, Eva and Williams, Alice and Cesaretti, Rudolf and Krueger, Marta and Ceccarelli, Alessandro and Figliulo-Rosswurm, Joe and Tuan, Po-Ju and Peregrine, Peter and Marciniak, Arkadiusz and Preiser-Kapeller, Johannes and Kradin, Nikolay and Korotayev, Andrey and Palmisano, Alessio and Baker, David and Bidmead, Julye and Bol, Peter and Christian, David and Cook, Connie and Covey, Alan and Feinman, Gary and Júlíusson, Árni Daníel and Kristinsson, Axel and Miksic, John and Mostern, Ruth and Petrie, Cameron and Rudiak-Gould, Peter and ter Haar, Barend and Wallace, Vesna and Mair, Victor and Xie, Liye and Baines, John and Bridges, Elizabeth and Manning, Joseph and Lockhart, Bruce and Bogaard, Amy and Spencer, Charles	Quantitative historical analysis uncovers a single dimension of complexity that structures global variation in human social organization	NA
abbott_venice_nodate	article	Abbott, Alison	{VENICE {GETS {A {TIME {MACHINE	NA
barranha_derivative_2018	article	Barranha, Helena	Derivative {Narratives: {The {Multiple {Lives of a {Masterpiece on the {Internet	NA
kidd_new_2019	article	Kidd, Jenny	\textit{{With {New {Eyes {I {See : embodiment, empathy and silence in digital heritage interpretation	NA
stokes_digital_2015	article	Stokes, Peter A.	Digital {Approaches to {Paleography and {Book {History: {Some {Challenges {Present and {Future	NA
drucker_is_2013	article	Drucker, Johanna	Is {There a “{Digital” {Art {History?	NA
windhager_visualization_2019	article	Windhager, Florian and Federico, Paolo and Schreder, Gunther and Glinka, Katrin and Dork, Marian and Miksch, Silvia and Mayr, Eva	Visualization of {Cultural {Heritage {Collection {Data: {State of the {Art and {Future {Challenges	NA
kraker_case_2011	article	Kraker, Peter and Leony, Derick and Reinhardt, Wolfgang and Gü, N.A. and Beham, nter	The case for an open science in technology enhanced learning	NA
masuzzo_you_2017	techreport	Masuzzo, Paola and Martens, Lennart	Do you speak open science? {Resources and tips to learn the language	NA
mikolov_distributed_2013	article	Mikolov, Tomas and Sutskever, Ilya and Chen, Kai and Corrado, Greg and Dean, Jeffrey	Distributed {Representations of {Words and {Phrases and their {Compositionality	NA
bojanowski_enriching_2017	article	Bojanowski, Piotr and Grave, Edouard and Joulin, Armand and Mikolov, Tomas	Enriching {Word {Vectors with {Subword {Information	NA
hermann_teaching_2015	article	Hermann, Karl Moritz and Kočiský, Tomáš and Grefenstette, Edward and Espeholt, Lasse and Kay, Will and Suleyman, Mustafa and Blunsom, Phil	Teaching {Machines to {Read and {Comprehend	NA
bahdanau_neural_2016	article	Bahdanau, Dzmitry and Cho, Kyunghyun and Bengio, Yoshua	Neural {Machine {Translation by {Jointly {Learning to {Align and {Translate	NA
vaswani_attention_2017	article	Vaswani, Ashish and Shazeer, Noam and Parmar, Niki and Uszkoreit, Jakob and Jones, Llion and Gomez, Aidan N. and Kaiser, Lukasz and Polosukhin, Illia	Attention {Is {All {You {Need	NA
wang_glue_2019	article	Wang, Alex and Singh, Amanpreet and Michael, Julian and Hill, Felix and Levy, Omer and Bowman, Samuel R.	{GLUE: {A {Multi-{Task {Benchmark and {Analysis {Platform for {Natural {Language {Understanding	NA
devlin_bert_2019	article	Devlin, Jacob and Chang, Ming-Wei and Lee, Kenton and Toutanova, Kristina	{BERT: {Pre-training of {Deep {Bidirectional {Transformers for {Language {Understanding	NA
ribeiro_why_2016	article	Ribeiro, Marco Tulio and Singh, Sameer and Guestrin, Carlos	"{Why {Should {I {Trust {You?": {Explaining the {Predictions of {Any {Classifier	NA
bender_climbing_2020	inproceedings	Bender, Emily M. and Koller, Alexander	Climbing towards {NLU: {On {Meaning {Form and {Understanding in the {Age of {Data	NA
bolukbasi_man_2016	article	Bolukbasi, Tolga and Chang, Kai-Wei and Zou, James and Saligrama, Venkatesh and Kalai, Adam	Man is to {Computer {Programmer as {Woman is to {Homemaker? {Debiasing {Word {Embeddings	NA
sap_social_2020	article	Sap, Maarten and Gabriel, Saadia and Qin, Lianhui and Jurafsky, Dan and Smith, Noah A. and Choi, Yejin	Social {Bias {Frames: {Reasoning about {Social and {Power {Implications of {Language	NA
gold_debates_2019	book	NA	Debates in the {Digital {Humanities 2019	NA
svensson_three_2020	article	Svensson, Patrik	Three {Premises of {Big {Digital {Humanities	NA
bhattacharyya_deep_2020	book	NA	Deep learning	NA
mnih_scalable_nodate	article	Mnih, Andriy and Hinton, Geoffrey E	A {Scalable {Hierarchical {Distributed {Language {Model	NA
pennington_glove_2014	inproceedings	Pennington, Jeffrey and Socher, Richard and Manning, Christopher	Glove: {Global {Vectors for {Word {Representation	NA
conneau_supervised_2017	inproceedings	Conneau, Alexis and Kiela, Douwe and Schwenk, Holger and Barrault, Loïc and Bordes, Antoine	Supervised {Learning of {Universal {Sentence {Representations from {Natural {Language {Inference {Data	NA
sebastiani_machine_2002	article	Sebastiani, Fabrizio	Machine learning in automated text categorization	NA
