0000000088	title
0000000086	language
0000000082	author
0000000081	year
0000000077	url
0000000059	file
0000000058	keywords
0000000053	abstract
0000000050	pages
0000000043	urldate
0000000041	journal
0000000040	doi
0000000039	month
0000000034	number
0000000031	volume
0000000027	address
0000000024	shorttitle
0000000017	issn
0000000016	publisher
0000000016	note
0000000013	booktitle
0000000009	isbn
0000000009	institution
0000000007	annote
0000000006	series
0000000005	editor
0000000004	type
0000000003	school
0000000003	collaborator
0000000002	copyright
